Reporter_family,REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY
"Sun Pharmaceutical Industries, Inc.",RC0170491,MANUFACTURER,"SUN PHARMACEUTICAL INDUSTRIES, INC.",,1150 ELIJAH MCCOY DR,,DETROIT,MI,48202,WAYNE
Cardinal Health,RC0182080,DISTRIBUTOR,CARDINAL HEALTH,,2045 INTERSTATE DRIVE,,LAKELAND,FL,33805,POLK
"Caremark Repack, LLC",RC0183614,MANUFACTURER,"CAREMARK REPACK, LLC",,1100 LAKESIDE DRIVE,,GURNEE,IL,60031,LAKE
Cypress Pharmaceutical,RC0186343,DISTRIBUTOR,CYPRESS PHARMACEUTICAL,,135 INDUSTRIAL BLVD,,MADISON,MS,39110,MADISON
C D Smith Company,RC0197790,DISTRIBUTOR,C D SMITH COMPANY,,2571 EAST WASHBURN,,NORTH LAS VEGAS,NV,89081,CLARK
"Lannett Company, Inc.",RC0208149,MANUFACTURER,"LANNETT COMPANY, INC.",FREEMAN FIELD INDUSTRIAL PARK,1101 C AVENUE WEST,,SEYMOUR,IN,47274,JACKSON
Cardinal Health,RC0221236,DISTRIBUTOR,CARDINAL HEALTH,,1240 GLUCKSTADT ROAD,,MADISON,MS,39110,MADISON
Cardinal Health,RC0229965,DISTRIBUTOR,CARDINAL HEALTH,DBA SPECIALTY PHARMACEUTICAL,SERVICES,15 INGRAM BLVD,LA VERGNE,TN,37086,RUTHERFORD
"Altura Pharmaceuticals, Inc",RC0231148,MANUFACTURER,"ALTURA PHARMACEUTICALS, INC",,12540 MCCANN DRIVE,,SANTA FE SPRINGS,CA,90670,LOS ANGELES
Condell Home Pharmacy,RC0236984,DISTRIBUTOR,CONDELL HOME PHARMACY,,28835 N HERKY DRIVE,SUITE 101,LAKE BLUFF,IL,60044,LAKE
Cardinal Health,RC0238104,DISTRIBUTOR,CARDINAL HEALTH,,2512 WESTCOTT BLVD,,KNOXVILLE,TN,37931,KNOX
Cedarburg Pharmaceuticals,RC0239930,MANUF (BULK),CEDARBURG PHARMACEUTICALS,A DIVISION OF ALBANY MOLECULAR RESEARCH INC. (AMRI),870 BADGER CIRCLE,,GRAFTON,WI,53024,OZAUKEE
DSM Pharmaceuticals,RC0240692,MANUFACTURER,DSM PHARMACEUTICALS,,ATTN: DEA COMPLIANCE,5900 MARTIN LUTHER KING JR. HIGHWAY,GREENVILLE,NC,27834,PITT
CIMA Labs Inc.,RC0243256,MANUFACTURER,CIMA LABS INC,,7325 ASPEN LANE,,BROOKLYN PARK,MN,55428,HENNEPIN
,RC0244917,MANUF (BULK),CAMBREX NORTH BRUNSWICK INC,,TECHNOLOGY CENTRE OF NJ,661 HIGHWAY ONE,NORTH BRUNSWICK,NJ,8902,MIDDLESEX
CorePharma LLC,RC0245630,MANUFACTURER,"COREPHARMA, LLC",,215 WOOD AVENUE,,MIDDLESEX,NJ,8846,MIDDLESEX
,RC0247711,MANUF (BULK),CHATTEM CHEMICALS,,3801 ST ELMO AVENUE,,CHATTANOOGA,TN,37409,HAMILTON
Cerilliant Corporation,RC0263652,MANUF (BULK),CERILLIANT CORPORATION,CERILLIANT CORPORATION,"811 PALOMA DRIVE, SUITE A",,ROUND ROCK,TX,78665,WILLIAMSON
Cerilliant Corporation,RC0263652,MANUF (BULK),CERILLIANT CORPORATION,,"811 PALOMA DRIVE, SUITE A",,ROUND ROCK,TX,78665,WILLIAMSON
,RC0266292,MANUFACTURER,CONSOLIDATED TECHNOLOGIES,,4401 FREIDRICH LANE BLDG 1,SUITE 100,AUSTIN,TX,78744,TRAVIS
,RC0267167,REVERSE DISTRIB,ALMAC CLINICAL SERVICES INCORPORATED,ALMAC CLINICAL SERVICES LLC,4228 TECHNOLOGY DRIVE,,DURHAM,NC,27704,DURHAM
,RC0270378,MANUF (BULK),"CODY LABORATORIES, INC.","STEVE HARTMAN, VP COMPLIANCE",601 YELLOWSTONE AVENUE,,CODY,WY,82414,PARK
Cardinal Health,RC0271267,DISTRIBUTOR,CARDINAL HEALTH,,500 JERRY STEELE LANE,,MCDONOUGH,GA,30253,HENRY
CVS,RC0275467,DISTRIBUTOR,"CVS PHARMACY, INC",,800 CVS DRIVE,,ENNIS,TX,75119,ELLIS
Caligor,RC0281876,DISTRIBUTOR,CALIGOR RX INC,,1226 LEXINGTON AVENUE,,NEW YORK,NY,10028,NEW YORK
"Cedardale Distributors LLC, DBA Gen-Source RX",RC0282498,DISTRIBUTOR,"CEDARDALE DISTRIBUTORS LLC, D/B/A GEN-SOURCE RX",,620 GOTHAM PARKWAY,,CARLSTADT,NJ,7072,BERGEN
Caligor,RC0283262,DISTRIBUTOR,CALIGOR PHYSICIANS & HOSPITAL,SUPPLY CORPORATION,DBA CALIGOR,41 WEAVER ROAD,DENVER,PA,17517,LANCASTER
Caligor,RC0283589,DISTRIBUTOR,CALIGOR PHYSICIANS & HOSPITAL,"SUPPLY CORP,",DBA CALIGOR & ROANE BARKER,5315 WEST 74TH STREET,INDIANAPOLIS,IN,46268,MARION
Caligor,RC0284214,DISTRIBUTOR,CALIGOR PHYS & HOSP SUPP CORP,,DBA CALIGOR ROANE BARKER,8691 JESSE B SMITH CT,JACKSONVILLE,FL,32219,DUVAL
CSC High Plains,RC0285278,DISTRIBUTOR,CSC HIGH PLAINS,,2209 E 39TH STREET N,SUITE 200,SIOUX FALLS,SD,57104,MINNEHAHA
Comprehensive Consultant Serv,RC0287210,MANUFACTURER,COMPREHENSIVE CONSULTANT SERV,,DBA HEALTHCARE REPACKAGING SRV,6499 38TH AVE N STE C2,ST PETERSBURG,FL,33710,PINELLAS
Caligor,RC0287474,DISTRIBUTOR,CALIGOR PHYSICIANS & HOSPITAL,SUPPLY CORP,DBA CALIGOR & ROANE BARKER,1001 NOLEN DRIVE SUITE 400,GRAPEVINE,TX,76051,TARRANT
Caligor,RC0288705,DISTRIBUTOR,CALIGOR PHYSICIANS & HOSPITAL,,DBA CALIGOR & ROANE BARKER,255 VISTA BLVD,SPARKS,NV,89434,WASHOE
CIMA Labs Inc.,RC0289101,MANUFACTURER,CIMA LABS INC,,10000 VALLEY VIEW RD,,EDEN PRAIRIE,MN,55344,HENNEPIN
VA,RC0289199,DISTRIBUTOR,VA,,ATTN: BOB ARMSTRONG,"911 GRADE LANE, BLDG.#2",LOUISVILLE,KY,40213,JEFFERSON
"Corium International, Inc.",RC0290762,MANUFACTURER,"CORIUM INTERNATIONAL, INC.","CORIUM INTERNATIONAL, INC.",4558 50TH STREET SE,,GRAND RAPIDS,MI,49512,KENT
,RC0291245,MANUFACTURER,CAPRICORN PHARMA INC,,6900 ENGLISH MUFFIN WAY,UNIT A,FREDERICK,MD,21703,FREDERICK
Catalent Pharma Solutions,RC0294556,MANUFACTURER,"CATALENT PHARMA SOLUTIONS, INC",,160 S. PHARMA DRIVE,,MORRISVILLE,NC,27560,WAKE
Coating Place Inc,RC0298124,MANUFACTURER,COATING PLACE INC,,200 PAOLI STREET,P.O. BOX 930310,VERONA,WI,53593,DANE
Core Tech Solutions,RC0309927,MANUFACTURER,CORE TECH SOLUTIONS,,50 LAKE DRIVE,,EAST WINDSOR,NJ,8520,MERCER
Catalent Pharma Solutions,RC0310780,MANUFACTURER,"CATALENT PHARMA SOLUTIONS, INC",,14 SCHOOLHOUSE ROAD,,SOMERSET,NJ,8873,SOMERSET
Controlled Healthcare L L C,RC0312683,DISTRIBUTOR,CONTROLLED HEALTHCARE L L C,,900 ROCKMEAD DRIVE,SUITE 142,KINGWOOD,TX,77339,HARRIS
Cardinal Health,RC0313940,DISTRIBUTOR,CARDINAL HEALTH,,14601 COUNTY ROAD 212,,FINDLAY,OH,45840,HANCOCK
Cardinal Health,RC0314891,DISTRIBUTOR,CARDINAL HEALTH,,5995 COMMERCE CENTER DR,,GROVEPORT,OH,43125,FRANKLIN
CVS,RC0315108,DISTRIBUTOR,"CVS PHARMACY, INC.",,225 HARPERS LANDING BLVD,,CONROE,TX,77385,MONTGOMERY
"Sun Pharmaceutical Industries, Inc.",RC0315122,DISTRIBUTOR,"SUN PHARMACEUTICAL INDUSTRIES, INC.",,1150 ELIJAH MCCOY,,DETROIT,MI,48202,WAYNE
CVS,RC0318128,DISTRIBUTOR,CVS ORLANDO FL DISTRIBUTION,,LLC,8201 CHANCELLOR DRIVE,ORLANDO,FL,32809,ORANGE
Central Admixture Pharmacy,RC0318712,MANUFACTURER,CENTRAL ADMIXTURE PHARMACY,,SERVICES INC,"7935 DUNBROOK RD., STE B-G",SAN DIEGO,CA,92126,SAN DIEGO
Central Admixture Pharmacy,RC0320654,MANUFACTURER,CENTRAL ADMIXTURE PHARMACY,SERVICES INC,211 SUMMIT PARKWAY,STE 122,HOMEWOOD,AL,35209,JEFFERSON
"Cantrell Drug Co., Inc.",RC0322444,MANUFACTURER,"CANTRELL DRUG CO., INC.",,7321 CANTRELL RD.,,LITTLE ROCK,AR,72207,PULASKI
,RC0322595,REVERSE DISTRIB,CHESAPEAKE WASTE SOLUTIONS,,190 SHELLYLAND ROAD,,MANHEIM,PA,17545,LANCASTER
,RC0324967,MANUF (BULK),EUTICALS INC.,,2460 W BENNETT STREET,,SPRINGFIELD,MO,65807,GREENE
CSC South LLC,RC0326101,DISTRIBUTOR,CSC SOUTH LLC,,260 FEASTER RD,,GREENVILLE,SC,29615,GREENVILLE
,RC0331049,REVERSE DISTRIB,CLEAN HARBORS ARAGONITE,,11600 NORTH APTUS ROAD,,DUGWAY,UT,84022,TOOELE
Cardinal Health,RC0333524,DISTRIBUTOR,CARDINAL HEALTH,,13651 DUBLIN CT,,STAFFORD,TX,77477,FORT BEND
CVS,RC0338031,DISTRIBUTOR,"CVS VERO FL DISTRIBUTION, L.L.C",,2575 98TH AVE,,VERO BEACH,FL,32966,INDIAN RIVER
Cardinal Health,RC0346658,DISTRIBUTOR,CARDINAL HEALTH,,850 AIRPARK DRIVE,,ZANESVILLE,OH,43701,MUSKINGUM
Complete Home Care,RC0346999,MANUFACTURER,COMPLETE HOME CARE,D/B/A CARETRENDS PHARMACY,6709 S MINNESOTA AVENUE,SUITE 105,SIOUX FALLS,SD,57108,LINCOLN
CVS,RC0347725,DISTRIBUTOR,CVS PHARMACY INC,,777 S HARBOR BLVD,SUITE D-152,LA HABRA,CA,90631,ORANGE
Core Pharmaceuticals Inc,RC0348943,MANUFACTURER,CORE PHARMACEUTICALS INC,,434 W BROADWAY,,GLENDALE,CA,91204,LOS ANGELES
"Cephalon, Inc.",RC0351178,MANUFACTURER,"CEPHALON, INC.",,502 BRANDYWINE PARKWAY,ATTN:  QUALITY ASSURANCE,WEST CHESTER,PA,19380,CHESTER
"Cerovene, Inc",RC0358843,MANUFACTURER,"CEROVENE, INC",,612 CORPORATE WAY,SUITE #10,VALLEY COTTAGE,NY,10989,ROCKLAND
Central Admixture Pharmacy,RC0361547,MANUFACTURER,CENTRAL ADMIXTURE PHARMACY,"SERVICES, INC",4570 IVY STREET,UNIT B-400,DENVER,CO,80216,DENVER
,RC0364012,CHEMPACK/SNS DISTRIBUTOR,CALIFORNIA EMERGENCY MEDICAL SERVICES AUTHORITY,,10161 CROYDON WAY,ROOM 2A,SACRAMENTO,CA,95827,SACRAMENTO
CorePharma LLC,RC0366701,MANUFACTURER,COREPHARMA LLC,,236 LACKLAND DRIVE,,MIDDLESEX,NJ,8846,MIDDLESEX
"Sun Pharmaceutical Industries, Inc.",RC0369339,DISTRIBUTOR,"SUN PHARMACEUTICAL INDUSTRIES, INC.",,31060 OAK CREEK DRIVE,,WIXOM,MI,48393,OAKLAND
"Clipper Distributing Company, LLC",RC0377603,DISTRIBUTOR,"CLIPPER DISTRIBUTING COMPANY, LLC",,1302 SOUTH 59TH STREET,,SAINT JOSEPH,MO,64507,BUCHANAN
"Nuline Pharmaceuticals, Inc.",RC0385876,MANUFACTURER,"NULINE PHARMACEUTICALS, INC.",,434 W. BROADWAY,,GLENDALE,CA,91204,LOS ANGELES
Catalent Pharma Solutions,RC0388339,DISTRIBUTOR,"CATALENT PHARMA SOLUTIONS, INC.",,3001 RED LION ROAD,,PHILADELPHIA,PA,19114,PHILADELPHIA
Coupler Enterprises Inc.,RC0391754,MANUFACTURER,COUPLER ENTERPRISES INC.,CONTRACT PHARMACY SERVICES-PA,125 TITUS AVE,SUITE 200,WARRINGTON,PA,18976,BUCKS
"Contract Packaging Resources, Inc.",RC0394003,MANUFACTURER,"CONTRACT PACKAGING RESOURCES, INC.",,8009 INDUSTRIAL VILLAGE ROAD,,GREENSBORO,NC,27409,GUILFORD
CoreRx,RC0401694,MANUFACTURER,"CORERX, INCORPORATED",CORERX.INC.,14205 MYERLAKE CIRCLE,,CLEARWATER,FL,33760,PINELLAS
Cardinal Health,RC0403802,DISTRIBUTOR,CARDINAL HEALTH,,15 INGRAM BLVD,SUITE 140,LA VERGNE,TN,37086,RUTHERFORD
,RC0410528,REVERSE DISTRIB,CHEMTRON CORPORATION,,33565 PIN OAK PARKWAY,,AVON LAKE,OH,44012,LORAIN
Catalent Pharma Solutions,RC0413411,DISTRIBUTOR,"CATALENT PHARMA SOLUTIONS, LLC",,3031 RED LION ROAD,,PHILADELPHIA,PA,19114,PHILADELPHIA
CareFlite,RC0414540,DISTRIBUTOR,CAREFLITE,,3110 S. GREAT SOUTHWEST PKWY,,GRAND PRAIRIE,TX,75052,DALLAS
CVS,RC0415871,DISTRIBUTOR,"CVS RX SERVICES, INC",DBA:CVS/ PHARMACY DISTRIBUTION,CENTER,150 WHITE WAGON ROAD,CHEMUNG,NY,14825,CHEMUNG
"Packaging Coordinators, LLC",RC0428842,DISTRIBUTOR,"PACKAGING COORDINATORS, LLC",,3001 RED LION ROAD,,PHILADELPHIA,PA,19114,PHILADELPHIA
Capsugel,RC0432865,MANUFACTURER,CAPSUGEL INC,BOSTON PRODUCT DEVELOPMENT CENTER,200 TECHNOLOGY SQUARE,SUITE 500,CAMBRIDGE,MA,2139,MIDDLESEX
Caligor,RC0433057,DISTRIBUTOR,CALIGOR RX INC,,801 PENHORN AVENUE,UNIT 4,SECAUCUS,NJ,7094,HUDSON
"Collier Drug Stores, Inc.",RC0437120,MANUFACTURER,"COLLIER DRUG STORES, INC.",COLLIER COMPOUNDING,5203 WILLOW CREEK DRIVE,SUITE 1,JOHNSON,AR,72741,WASHINGTON
"Sun Pharmaceutical Industries, Inc.",RC0437891,MANUFACTURER,"SUN PHARMACEUTICAL INDUSTRIES, INC.",,270 PROSPECT PLAINS ROAD,,CRANBURY,NJ,8512,MIDDLESEX
"Sun Pharmaceutical Industries, Inc.",RC0438879,MANUFACTURER,"SUN PHARMACEUTICAL INDUSTRIES, INC.",ATTN:  DIANE LOVEJOY,705 EAST MULBERRY STREET,,BRYAN,OH,43506,WILLIAMS
,RC0442866,REVERSE DISTRIB,PHILIP RECLAMATION SERVICES,"STERICYCLE ENVIRONMENTAL SOLUTIONS, INC.",4050 HOMESTEAD ROAD,,HOUSTON,TX,77028,HARRIS
,RC0444086,REVERSE DISTRIB,CAVU MEDICAL PRODUCTS AND SERVICES LLC,DBA PHARMATECH SERVICES,14430 BLACK LAKE ROAD,,ODESSA,FL,33556,HILLSBOROUGH
"Clinical Supplies Management, Inc.",RC0454467,DISTRIBUTOR,"CLINICAL SUPPLIES MANAGEMENT, INC.",,342 42ND ST S,,FARGO,ND,58103,CASS
CVS,RC0469292,DISTRIBUTOR,"CVS VERO FL DISTRIBUTION, L.L.C.",DBA NAVIGATE RX,9400 NW 104TH STREET,SUITE B,MEDLEY,FL,33178,MIAMI-DADE
AnazaoHealth Corporation,RC0469773,MANUFACTURER,"COAST QUALITY PHARMACY, LLC",DBA ANAZAOHEALTH,5710 HOOVER BOULEVARD,,TAMPA,FL,33634,HILLSBOROUGH
"AxisCare Health Logistics,Inc",RD0108058,DISTRIBUTOR,"AXISCARE HEALTH LOGISTICS,INC",,"PEPSI  IND PARK  CARR 2 KM 19.5, BO CANDELARIA, TOA BAJA, PR",C/O PO BOX 1366,DORADO,PR,646,DORADO
Cardinal Health,RD0108200,DISTRIBUTOR,CARDINAL HEALTH,,11 CENTENNIAL DRIVE,,PEABODY,MA,1960,ESSEX
Watson Laboratories Inc,RD0118150,MANUFACTURER,WATSON LABORATORIES INC,,1033 STONELEIGH AVE,,CARMEL,NY,10512,PUTNAM
D & H Wholesale Medical,RD0125030,DISTRIBUTOR,D & H WHOLESALE MEDICAL,,609 WILLOW GLEN DRIVE,,RUSTON,LA,71270,LINCOLN
Organon API Inc.,RD0153419,DISTRIBUTOR,ORGANON API INC.,,2136 SOUTH WOLF ROAD,,DES PLAINES,IL,60018,COOK
DSC Laboratories,RD0172635,MANUFACTURER,DSC LABORATORIES,,DIVSION OF DSC PRODUCTS INC,1979 LATIMER DR,MUSKEGON,MI,49442,MUSKEGON
Dpt Laboratories Ltd,RD0173675,MANUFACTURER,DPT LABORATORIES LTD,,307 E JOSEPHINE ST,ATTN: MYRNA MORALES,SAN ANTONIO,TX,78215,BEXAR
SSM Health Medication Purchasing,RD0177041,DISTRIBUTOR,SSM HEALTH MEDICATION PURCHASING,,2202 WEST BELTLINE HIGHWAY,,MADISON,WI,53713,DANE
Direct Dispensing,RD0183068,MANUFACTURER,DIRECT DISPENSING,,3123-A N.W. 73RD STREET,,MIAMI,FL,33147,MIAMI-DADE
Devos Ltd,RD0188311,REVERSE DISTRIB,DEVOS LTD,D/B/A GUARANTEED RETURNS,100 COLIN DRIVE,,HOLBROOK,NY,11741,SUFFOLK
D & K Healthcare Resources,RD0203365,DISTRIBUTOR,D&K HEALTHCARE RESOURCES INC,,800 NORTH THIRD STREET,,MINNEAPOLIS,MN,55401,HENNEPIN
DMS Pharmaceutical Group,RD0204797,DISTRIBUTOR,DMS PHARMACEUTICAL GROUP,,810 BUSSE HIGHWAY,,PARK RIDGE,IL,60068,COOK
"Dohmen Life Science Services, LLC",RD0205333,DISTRIBUTOR,"DOHMEN LIFE SCIENCE SERVICES, LLC",,4580 MENDENHALL ROAD,,MEMPHIS,TN,38141,SHELBY
,RD0216134,MANUF (BULK),DADE BEHRING INC,100 GBC DRIVE MS514,P.O. BOX 6101,ATTN: RA/QS,NEWARK,DE,19714,NEW CASTLE
Diversified Health Care,RD0216552,MANUFACTURER,DIVERSIFIED HEALTH CARE,,250 HEMBREE PARK DRIVE STE 112,,ROSWELL,GA,30076,FULTON
Drogueria de La Villa,RD0216778,DISTRIBUTOR,DROGUERIA DE LA VILLA,,AVE DE DIEGO NO.17,,ARECIBO,PR,612,ARECIBO
D & K Healthcare Resources,RD0220866,DISTRIBUTOR,D & K HEALTHCARE RESOURCES,,1823 RUST AVE,,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU
Discount Generics & Brands Inc,RD0226577,DISTRIBUTOR,DISCOUNT GENERICS & BRANDS INC,CALLE ACASIA #5,URB MONTE REY,PUEBLO VIEJO,SAN JUAN,PR,920,SAN JUAN
D-V Medical Supply,RD0233938,DISTRIBUTOR,D-V MEDICAL SUPPLY,,2000 W. 135TH STREET,,GARDENA,CA,90249,LOS ANGELES
Dakota Drug,RD0244842,DISTRIBUTOR,DAKOTA DRUG,,4121 12TH AVENUE NW,,FARGO,ND,58102,CASS
Dakota Drug,RD0246721,DISTRIBUTOR,DAKOTA DRUG,,28 NORTH MAIN STREET,,MINOT,ND,58703,WARD
Dept of Veterans Affairs,RD0259906,DISTRIBUTOR,DEPT OF VETERANS AFFAIRS,NATIONAL ACQUISITION CENTER,"BLDG 37, 1 BLK N CERMAK ON 1ST",AVE,HINES,IL,60141,COOK
Dpt Laboratories Ltd,RD0265783,MANUFACTURER,"DPT LABORATORIES, LTD",,3300 RESEARCH PLAZA,ATTN: MYRNA MORALES,BROOKS CITY BASE,TX,78235,BEXAR
"DRx Pharmaceutical Consultants, Inc.",RD0269109,MANUFACTURER,"DRX PHARMACEUTICAL CONSULTANTS, INC.",,13795 W. POLO TRAIL DRIVE,,LAKE FOREST,IL,60045,LAKE
"Darby Dental Supply, LLC",RD0271130,DISTRIBUTOR,"DARBY DENTAL SUPPLY, LLC",,4460  E HOLMES ROAD,,MEMPHIS,TN,38118,SHELBY
Dept of Health Warehouse,RD0274011,DISTRIBUTOR,DEPT OF HEALTH WAREHOUSE,DC DEPARTMENT OF HEALTH,"#4 DC VILLAGE LANE, SW",,WASHINGTON,DC,20032,DISTRICT OF COLUMBIA
Dispensing Solutions,RD0274364,MANUFACTURER,DISPENSING SOLUTIONS,,3000 WEST WARNER AVE,,SANTA ANA,CA,92704,ORANGE
Durect Corporation,RD0274631,MANUFACTURER,DURECT CORPORATION,,PO BOX 759,10240 BUBB ROAD,CUPERTINO,CA,95015,SANTA CLARA
Drugs Unlimited Inc,RD0276546,DISTRIBUTOR,DRUGS UNLIMITED INC,,AVENIDA  SAN  IGNACIO #1366,URB.  ALTAMESA,SAN JUAN,PR,921,SAN JUAN
River City Pharma,RD0277409,DISTRIBUTOR,"MASTERS PHARMACEUTICAL, INC",DBA: RIVER CITY PHARMA,11930 KEMPER SPRINGS,,CINCINNATI,OH,45240,HAMILTON
"Renaissance Lakewood, LLC",RD0281383,MANUFACTURER,"RENAISSANCE LAKEWOOD, LLC",,1200 PACO WAY,,LAKEWOOD,NJ,8701,OCEAN
Drug & Laboratory Disposal Inc,RD0284048,REVERSE DISTRIB,DRUG & LABORATORY DISPOSAL INC,,331 BROAD STREET,,PLAINWELL,MI,49080,ALLEGAN
Drug & Laboratory Disposal Inc,RD0284048,REVERSE DISTRIB,DRUG & LABORATORY DISPOSAL INC,"DRUG & LABORATORY DISPOSAL, INC.",331 BROAD STREET,,PLAINWELL,MI,49080,ALLEGAN
Drug Valet Inc,RD0284391,DISTRIBUTOR,DRUG VALET INC,,1505 E. WEBER DRIVE STE 103,,TEMPE,AZ,85281,MARICOPA
"Dohmen Life Science Services, LLC",RD0284911,DISTRIBUTOR,"DOHMEN LIFE SCIENCE SERVICES, LLC",,1560A S BAKER AVE,,ONTARIO,CA,91761,SAN BERNARDINO
"Deltex Pharmaceuticals, Inc",RD0285874,MANUFACTURER,"DELTEX PHARMACEUTICALS, INC",,1700 BAMORE ROAD,,ROSENBERG,TX,77471,FORT BEND
Dixon-Shane LLC,RD0289656,DISTRIBUTOR,DIXON-SHANE LLC,D/B/A R & S NORTHEAST LLC,10049 SANDMEYER LN,,PHILADELPHIA,PA,19116,PHILADELPHIA
Dixon-Shane LLC,RD0289656,DISTRIBUTOR,DIXON-SHANE LLC,D/B/A R & S NORTHEAST LLC,10049 SANDMEYER LANE,,PHILADELPHIA,PA,19116,PHILADELPHIA
Dept of Veterans Affairs,RD0297172,DISTRIBUTOR,DEPT OF VETERANS AFFAIRS,,BLDG 37 1 BLK N CERMAK ON 1ST.,EMERGENCY PHARMACY SERVICE,HINES,IL,60141,COOK
Dendrite,RD0307416,DISTRIBUTOR,DENDRITE,,25 MADISON ROAD,,TOTOWA,NJ,7512,PASSAIC
Diamond Pharmacy Services,RD0311100,DISTRIBUTOR,DIAMOND PHARMACY SERVICES,,665 KOLTER DRIVE,,INDIANA,PA,15701,INDIANA
"Dartmouth Pharmaceuticals, Inc",RD0318976,DISTRIBUTOR,"DARTMOUTH PHARMACEUTICALS, INC",,38 CHURCH AVENUE,,WAREHAM,MA,2571,PLYMOUTH
D & K Healthcare Resources,RD0320933,DISTRIBUTOR,"D& K HEALTHCARE RESOURCES,",,6775 JEFFERSON METROPOLITAN  PKWY,,MCCALLA,AL,35111,JEFFERSON
DIT Healthcare Distributio,RD0324272,DISTRIBUTOR,DIT HEALTHCARE DISTRIBUTIO,,4884 DUFF DRIVE,SUITE D,WEST CHESTER,OH,45246,HAMILTON
"DispenseXpress,Inc.",RD0328193,MANUFACTURER,"DISPENSEXPRESS,INC.",,270 SOUTH FLOWER ST.,,BURBANK,CA,91502,LOS ANGELES
Duane Reade,RD0330720,DISTRIBUTOR,DUANE READE,,50-02 55TH AVE,,MASPETH,NY,11378,QUEENS
,RD0337623,REVERSE DISTRIB,"DCM VENTURES, LTD.",,3012 SOUTH ELM-EUGENE ST.,SUITE G,GREENSBORO,NC,27406,GUILFORD
Dakota Drug,RD0352637,DISTRIBUTOR,DAKOTA DRUG INC.,,1101 LUND BLVD.,P O BOX 877,ANOKA,MN,55303,ANOKA
Diamondback Drugs,RD0367450,DISTRIBUTOR,DIAMONDBACK DRUGS,,7901 E. MCDOWELL ROAD,,SCOTTSDALE,AZ,85257,MARICOPA
Drogueria Betances,RD0369947,DISTRIBUTOR,"DROGUERIA BETANCES, LLC","AVE LUIS MUNOZ MARIN ESQ. TROCHE ANGORA EL TROCHE,","BO TOMAS DE CASTRO, CAGUAS PR 00725",PO BOX 368 CAGUAS PR 00726,CAGUAS,PR,725,CAGUAS
Duke University Medical Center,RD0386765,DISTRIBUTOR,DUKE UNIVERSITY MEDICAL CENTER,DIVISION OF LABORATORY ANIMAL RESOURCES,103 RESEARCH DRIVE,"DUMC 3180, VIVARIUM BLDG.",DURHAM,NC,27710,DURHAM
,RD0394534,REVERSE DISTRIB,DEVOS LTD,DBA GUARANTEED RETURNS,100 13TH AVENUE,,RONKONKOMA,NY,11779,SUFFOLK
Dixon-Shane LLC,RD0419728,DISTRIBUTOR,DIXON-SHANE LLC D/B/A R&S NORTHEAST LLC,,8407 AUSTIN TRACY RD,,FOUNTAIN RUN,KY,42133,MONROE
Dik Drug Co,RD0430481,DISTRIBUTOR,"DIK DRUG COMPANY, LLC","DBA DDC, LLC.",160 TOWER DRIVE,SUITE 1,BURR RIDGE,IL,60527,DUPAGE
,RD0430532,REVERSE DISTRIB,DANOX ENVIRONMENTAL SERVICES INC.,,"102 MARY ALICE PARK ROAD,",SUITE 104-107,CUMMING,GA,30040,FORSYTH
Diamondback Drugs,RD0444276,MANUFACTURER,DIAMONDBACK DRUGS MFG,,7631 E. INDIAN SCHOOL ROAD,,SCOTTSDALE,AZ,85251,MARICOPA
Direct Rx,RD0458441,MANUFACTURER,DIRECT RX,,1111 ALDERMAN DRIVE,SUITE 450,ALPHARETTA,GA,30005,FULTON
Diamondback Drugs,RD0461664,DISTRIBUTOR,DIAMONDBACK DRUGS DISTRIBUTOR,,7631 E. INDIAN SCHOOL ROAD,,SCOTTSDALE,AZ,85251,MARICOPA
Edwards Pharmaceuticals,RE0133607,DISTRIBUTOR,EDWARDS PHARMACEUTICALS,,111 MULBERRY ST,,RIPLEY,MS,38663,TIPPAH
Elge,RE0155184,MANUFACTURER,ELGE,,1000 COLE AVENUE,,ROSENBERG,TX,77471,FORT BEND
Everett Laboratories,RE0160262,DISTRIBUTOR,EVERETT LABORATORIES,,29 SPRING STREET,,WEST ORANGE,NJ,7052,ESSEX
AmerisourceBergen Drug,RE0161733,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,6810 SHADY OAK RD,,EDEN PRAIRIE,MN,55344,HENNEPIN
"ECR Pharmaceuticals Co, Inc",RE0169094,DISTRIBUTOR,"ECR PHARMACEUTICALS CO, INC",,3969 DEEP ROCK ROAD,,RICHMOND,VA,23233,HENRICO
Expert-Med,RE0178043,DISTRIBUTOR,EXPERT-MED,,400 ANDALUSIA AVENUE,,ORMOND BEACH,FL,32174,VOLUSIA
"Eon Labs, Inc.",RE0184680,MANUFACTURER,EON LABS INC,,227-15 NORTH CONDUIT AVE,,LAURELTON,NY,11413,QUEENS
Ethex Corp,RE0189767,DISTRIBUTOR,ETHEX CORP,,3100 CORPORATE EXCHANGE CT.,,BRIDGETON,MO,63044,SAINT LOUIS
