BUYER_DEA_NO,BUYER_STATE,BUYER_COUNTY,lat,lon
BR9163647,GA,DEKALB,33.6909866,-84.0881398
FK0583066,GA,DEKALB,33.6928264,-84.0975119
BE9163647,GA,DEKALB,33.6909866,-84.0881398
BT8886181,GA,DEKALB,33.6946724,-84.0852023
AH2496203,GA,GORDON,34.5122721,-84.9251247
BR8578722,GA,GORDON,34.5112019,-84.9232593
FT3084491,GA,GORDON,34.5122721,-84.9251247
BE8578722,GA,GORDON,34.5112019,-84.9232593
BK4756738,GA,GORDON,34.4782925,-84.9366155
BW5438824,GA,GORDON,34.4793963,-84.945661
AK8984836,GA,GORDON,34.4833362,-84.9448478
FK0087521,GA,JACKSON,34.1170348,-83.5735229
AP1166342,GA,JACKSON,34.117041,-83.573551
BS9606724,GA,CLARKE,33.9392611,-83.3212829
BW6629058,GA,CLARKE,33.9335284,-83.3098186
AH5631470,GA,CLARKE,33.9662399,-83.2795221
BB3859646,GA,CLARKE,33.9392611,-83.3212829
AK2468040,GA,CLARKE,33.9218683,-83.3437049
BR5283306,GA,CLARKE,33.9254456,-83.3402533
FP0513057,GA,CLARKE,33.9251254,-83.341529
BE5283306,GA,CLARKE,33.9254456,-83.3402533
BB9183601,GA,CLAY,31.6058223,-85.0496492
FW0780800,GA,DEKALB,33.6362339,-84.2928852
BR5170674,GA,CLAYTON,33.556022,-84.3714961
FR0164210,GA,CLAYTON,33.578743,-84.384143
AR6638982,GA,DODGE,32.1936286,-83.1752002
BW5438937,GA,DODGE,32.1788525,-83.1777959
AE4135174,GA,DODGE,32.1819632,-83.17901
BM2930015,GA,DODGE,32.1871912,-83.177754
BF1577103,GA,DODGE,32.1976563,-83.1778796
BI2937069,GA,DODGE,32.1871912,-83.177754
BR5171119,GA,DOUGHERTY,31.6102713,-84.2238041
FW0704711,GA,DOUGHERTY,31.580408,-84.1755768
BT0581012,GA,DOUGHERTY,31.5854957,-84.1758343
BA3363532,GA,DOUGHERTY,31.5866938,-84.1835461
AC1955193,GA,GRADY,30.8750061,-84.2048685
FC0813142,GA,GRADY,30.8759151,-84.2068816
BU6778611,GA,GRADY,30.866146,-84.2011775
FH0215168,GA,GRADY,30.8768784,-84.194444
AC5511515,GA,GRADY,30.8759151,-84.2068816
BF9695567,GA,GRADY,30.8756808,-84.2026399
BW5307207,GA,NA,30.8768784,-84.194444
FA0124569,GA,LOWNDES,30.899474,-83.332532
AC1176381,GA,LOWNDES,30.9917942,-83.3697148
FJ2404363,GA,LOWNDES,30.9896066,-83.3818603
BF5642740,GA,LOWNDES,30.9030508,-83.337206
BR4793243,GA,CLAYTON,33.5776421,-84.3884162
BE8568783,GA,CLAYTON,33.5246923,-84.4222725
BR8568783,GA,CLAYTON,33.5246923,-84.4222725
BW9062302,GA,CLAYTON,33.4423851,-84.3257723
BE8135318,GA,HENRY,33.4473918,-84.3254846
FF1462251,GA,FAYETTE,33.4268413,-84.4007687
BR8135318,GA,HENRY,33.4473918,-84.3254846
FP0174261,GA,DOUGHERTY,31.5960534,-84.1611134
BP2691803,GA,DOUGHERTY,31.607519,-84.1724248
BD8392920,GA,DOUGHERTY,31.5960534,-84.1611134
FP3056834,GA,DOUGHERTY,31.5902306,-84.1568094
FQ2428577,GA,DOUGHERTY,31.6002956,-84.1635448
AS8936087,GA,DOUGHERTY,31.5818691,-84.1554878
BR5283267,GA,DOUGHERTY,31.573256399999998,-84.175618
BE5283267,GA,DOUGHERTY,31.573256399999998,-84.175618
AE5557410,GA,DOUGHERTY,31.5772662,-84.1510888
BW7163277,GA,DOUGLAS,33.7745844,-84.6011365
BW2288620,GA,DOUGLAS,33.7933223,-84.663421
BT3887582,GA,DOUGLAS,33.7862735,-84.6568625
BW5438660,GA,GWINNETT,34.088561,-83.9899192
BC9704291,GA,GWINNETT,34.0619806,-83.9948619
BR5283661,GA,GWINNETT,34.0976417,-84.0169489
AS6010425,GA,GWINNETT,34.1014346,-84.0227733
FW0359908,GA,GWINNETT,34.0943782,-84.0137157
BK1165857,GA,GWINNETT,34.0972051,-84.0097606
BE5283661,GA,GWINNETT,34.0976417,-84.0169489
FS2977102,GA,GWINNETT,34.1014346,-84.0227733
BK1141770,GA,GWINNETT,34.097156,-84.009797
BP4556885,GA,GWINNETT,34.0362936,-83.990156
BK4441806,GA,GWINNETT,34.0636562,-84.072724
BW7745409,GA,GWINNETT,34.0370605,-84.0507491
AC5973195,GA,MADISON,34.0376386,-83.2181834
FF1847168,GA,MADISON,34.0344382,-83.2339967
BR3372872,GA,MARION,32.3180513,-84.5183426
AR5264267,GA,MARION,32.3180513,-84.5183426
FB3482229,GA,MARION,32.319552,-84.5179794
BC8135053,GA,MERIWETHER,32.8523552,-84.6139996
AR2957275,GA,MERIWETHER,32.8532659,-84.6178283
BF8658114,GA,MERIWETHER,32.8677339,-84.628341
BB9057337,GA,MERIWETHER,32.8522186,-84.6138889
BW7659608,GA,COBB,34.0287322,-84.6581517
BP4878243,GA,COBB,33.9974057,-84.7079418
BR5304794,GA,COBB,33.9984302,-84.7058389
BK4756726,GA,COBB,33.9958663,-84.7052796
BE5304794,GA,COBB,33.9984302,-84.7058389
BP3852503,GA,COBB,34.0618977,-84.5905133
BM5606326,GA,DOUGLAS,33.7510575,-84.7475727
BK1637442,GA,DOUGLAS,33.7493371,-84.7312564
BA4830851,GA,DOUGLAS,33.73769,-84.732449
BW9859844,GA,DOUGLAS,33.7505695,-84.7257717
BS6553019,GA,DOUGLAS,33.7309403,-84.7562014
BW5439105,GA,DOUGLAS,33.7325285,-84.7566909
FH3123863,GA,DOUGLAS,33.7491514,-84.7303931
FG3327005,GA,DOUGLAS,33.7053203,-84.7754123
BR8910627,GA,DOUGLAS,33.7236857,-84.735066
FW1138076,GA,DOUGLAS,33.7006485,-84.7166579
BE8910627,GA,DOUGLAS,33.7236857,-84.735066
BR5284182,GA,GWINNETT,33.9449211,-84.2044519
BE5284182,GA,GWINNETT,33.9449211,-84.2044519
BP4857148,GA,GWINNETT,33.8695128,-84.0914482
FW0625268,GA,GWINNETT,33.9032297,-84.122651
BW7144001,GA,GWINNETT,33.9473766,-83.9869271
BK1915252,GA,GWINNETT,33.9525236,-83.9888493
BI7870579,GA,GWINNETT,33.9384246,-84.0173227
BE5283229,GA,GWINNETT,33.950198,-83.9877355
BR5283229,GA,GWINNETT,33.950198,-83.9877355
AS9150501,GA,JOHNSON,32.7313915,-82.7197326
AR2989664,GA,JOHNSON,32.7308753,-82.7211418
AM1188095,GA,LAMAR,33.0857985,-84.1756222
BW8866038,GA,COBB,34.0509583,-84.5963096
BK4838984,GA,COBB,34.0486909,-84.603195
BP8761416,GA,COBB,34.0492288,-84.6107774
FP0321303,GA,COBB,34.0050325,-84.5934508
FT0040597,GA,COBB,34.0097573,-84.5733127
FT2277209,GA,COBB,34.0417862,-84.6018319
BP7201306,GA,COBB,33.993639,-84.5994185
BS1443580,GA,COBB,33.9676065,-84.6646264
BW7342974,GA,COBB,33.9467382,-84.6233207
BP4742260,GA,COBB,33.9482706,-84.6256551
BR9030165,GA,COBB,33.9906882,-84.6282499
BE9030165,GA,COBB,33.9906882,-84.6282499
BW7552777,GA,COBB,33.9408647,-84.7042057
BW5439369,GA,EFFINGHAM,32.2745995,-81.2259249
BK6851996,GA,EFFINGHAM,32.264601999999996,-81.2199545
BR0992683,GA,EFFINGHAM,32.2781445,-81.2289915
FW0608591,GA,EFFINGHAM,32.2734069,-81.2286226
BQ4415902,GA,EFFINGHAM,32.2516233,-81.2122501
BT9441320,GA,EFFINGHAM,32.2534637,-81.2157781
BC9861659,GA,EFFINGHAM,32.2776739,-81.2309754
AB5367847,GA,ELBERT,34.2048053,-83.030784
BK4732093,GA,GWINNETT,33.9404597,-84.0831267
BW7157185,GA,GWINNETT,33.9375271,-84.0340075
BP8148137,GA,GWINNETT,33.9211305,-84.0181469
BW9188827,GA,GWINNETT,33.9364832,-84.0250038
BP8738772,GA,GWINNETT,33.9347009,-83.9563998
FJ2460157,GA,JACKSON,34.1205029,-83.825715400000007
BP4884652,GA,GWINNETT,34.073449599999996,-83.9153654
FG0609377,GA,GWINNETT,34.0798446,-83.9182623
BP4616035,GA,GWINNETT,33.8025805,-84.0406974
FW0153483,GA,GWINNETT,33.8031594,-84.0436343
BP8126989,GA,GWINNETT,33.8382218,-84.0712169
BR5283736,GA,GWINNETT,33.8133989,-84.0423904
BW9547398,GA,GWINNETT,33.8080837,-84.0466434
BK6209248,GA,GWINNETT,33.8252343,-84.0326134
BE5283736,GA,GWINNETT,33.8133989,-84.0423904
BW5438886,GA,MCDUFFIE,33.4807888,-82.5015006
FW0996617,GA,MCDUFFIE,33.4835438,-82.5045877
BP3746914,GA,COBB,33.977114,-84.4150761
AK8528638,GA,COBB,33.9860733,-84.4253918
BK2477479,GA,FULTON,34.0624352,-84.4235519
BW5438975,GA,COBB,33.909961,-84.4886219
FS0585135,GA,COBB,33.9134238,-84.4903322
FG2673805,GA,COBB,33.9134238,-84.4903322
FP2339061,GA,COBB,33.9134238,-84.4903322
BR3992509,GA,COBB,33.9211991,-84.5785119
BR5284245,GA,COBB,33.9053383,-84.6032226
BE5284245,GA,COBB,33.9053383,-84.6032226
FG0348044,GA,COBB,33.9131876,-84.5830699
FT0446915,GA,COBB,33.8578263,-84.5142721
BC1704510,GA,COBB,33.8553135,-84.5115273
BP7531999,GA,COBB,33.8590614,-84.5159318
BC5672375,GA,COBB,33.866673,-84.5402795
BR0776332,GA,EMANUEL,32.5981352,-82.3347122
AW6665511,GA,EMANUEL,32.5949855,-82.3325358
BW5438622,GA,EMANUEL,32.5883707,-82.3291573
BW7374414,GA,EMANUEL,32.5942217,-82.333253
FW0958249,GA,EMANUEL,32.5905754,-82.3291485
AW1171406,GA,EVANS,32.1584933,-81.9046231
FS2277223,GA,GWINNETT,33.8323014,-84.0090995
BK4604749,GA,WALTON,33.860059,-83.95464
BE6228109,GA,HABERSHAM,34.5995934,-83.521305
BC1691650,GA,HABERSHAM,34.6012469,-83.5188477
BI9686823,GA,HABERSHAM,34.6036313,-83.5176664
BR1667988,GA,HABERSHAM,34.6129322,-83.5243864
BW3618014,GA,HALL,34.4470602,-83.8054158
BW7617698,GA,HALL,34.4465311,-83.8070608
BF9124506,GA,MILLER,31.176016,-84.7351823
BR1156492,GA,MILLER,31.1709681,-84.7356781
FC1310868,GA,FULTON,33.8652125,-84.4820881
BP3872783,GA,COBB,33.8322235,-84.5754019
AK8634467,GA,COBB,33.8350711,-84.5748495
BR5284207,GA,COBB,33.8415401,-84.5786347
BE5284207,GA,COBB,33.8415401,-84.5786347
AT6758760,GA,COBB,33.8123174,-84.6314389
BP3449142,GA,COBB,33.9033683,-84.6068629
BW9684398,GA,COBB,33.9047634,-84.6049814
BK8142426,GA,COBB,33.8460219,-84.6990946
BR5284233,GA,COBB,33.8446457,-84.6992649
BE5284233,GA,COBB,33.8446457,-84.6992649
FN0193146,GA,COFFEE,31.5179542,-82.6343747
BN4993425,GA,COFFEE,31.518172,-82.631139
BM0767713,GA,FANNIN,34.9864961,-84.3713319
BI2007006,GA,FANNIN,34.9144493,-84.3751341
BK6185020,GA,FAYETTE,33.4326735,-84.458778
BR5284461,GA,FAYETTE,33.449169499999996,-84.4860808
BE5284461,GA,FAYETTE,33.449169499999996,-84.4860808
FG1030016,GA,HALL,34.3768891,-83.8755667
BL4517908,GA,HALL,34.3690605,-83.8678861
BR5284067,GA,HALL,34.358399,-83.8611357
BE5284067,GA,HALL,34.358399,-83.8611357
AR1187916,GA,HALL,34.3129804,-83.8282846
BR5283356,GA,HALL,34.3108099,-83.8152304
BC3704889,GA,HALL,34.3192757,-83.8312265
FR2299457,GA,HALL,34.3129804,-83.8282846
AA3526108,GA,HALL,34.3182867,-83.8298178
BE5283356,GA,HALL,34.3108099,-83.8152304
BR8798514,GA,HALL,34.3129804,-83.8282846
FK0919932,GA,HALL,34.1964534,-83.8579611
BD5014585,GA,HALL,34.1892769,-83.8555444
AD1768095,GA,HALL,34.2540439,-83.8924171
AR9713884,GA,LAMAR,33.0457338,-84.1696781
FW0581428,GA,LAMAR,33.0471214,-84.1711244
BR1546552,GA,LAURENS,32.5501509,-82.8771433
BM8206826,GA,LAURENS,32.5464213,-82.8858064
BF9044950,GA,LAURENS,32.5480555,-82.8758263
AR2091875,KY,FLOYD,32.55999,-82.8197553
BH8966357,GA,COLQUITT,31.1802993,-83.7734385
BA5524322,GA,COLQUITT,31.1802604,-83.7883259
BP4566886,GA,COLUMBIA,33.5303768,-82.072973
BR5284308,GA,COLUMBIA,33.528048,-82.07259
BE5284308,GA,COLUMBIA,33.528048,-82.07259
BC6206278,GA,COLUMBIA,33.534118,-82.1308585
FW1318787,GA,COLUMBIA,33.5369608,-82.1290729
FG1291703,GA,FLOYD,34.2789068,-85.1829676
BR5171169,GA,FLOYD,34.256522,-85.1646332
AC1187930,GA,FLOYD,34.266668,-85.2059265
AC6641270,GA,HALL,34.183314,-83.925409
BR8988086,GA,HALL,34.1771429,-83.9099864
BP7939020,GA,HALL,34.1764282,-83.9115207
FT0674994,GA,HALL,34.1807576,-83.9106323
BE8988086,GA,HALL,34.1771429,-83.9099864
AG7993670,GA,HARALSON,33.7207996,-85.1479893
BJ9700471,GA,HARALSON,33.8018411,-85.1877988
BW5439016,GA,HARALSON,33.7229681,-85.1468339
BR5172402,GA,HARALSON,33.7449676,-85.2889786
AL1192018,GA,HARALSON,33.7213978,-85.1462552
AJ5132814,GA,HARALSON,33.802156600000004,-85.1874444
AC7993656,GA,HARALSON,33.7161073,-85.1435408
BL8143442,GA,HARALSON,33.7178613,-85.1432774
BT5467394,GA,HARALSON,33.7437857,-85.2877271
BR0153053,GA,HARALSON,33.719745,-85.1446549
FW1286524,GA,HARALSON,33.7199313,-85.1460729
BL7592593,GA,MCDUFFIE,33.460611,-82.5068632
AR6428898,GA,MCDUFFIE,33.462024,-82.5007394
FL0791310,GA,MCDUFFIE,33.4608827,-82.5069684
BL6619425,GA,MCDUFFIE,33.4570344,-82.5125375
FE0000163,GA,MCINTOSH,31.5248354,-81.4304308
BE9421291,GA,MCINTOSH,31.524762,-81.430581
BP8650889,GA,FORSYTH,34.2580883,-84.0711633
AG7193799,GA,FORSYTH,34.2057858,-84.1401744
BP4337235,GA,FORSYTH,34.1882163,-84.1379463
BA9441685,GA,FORSYTH,34.1889717,-84.1443381
FE0134154,GA,FORSYTH,34.1889717,-84.1443381
AM1699860,GA,MITCHELL,31.1259688,-84.1507273
AR3155985,GA,MITCHELL,31.2333617,-84.2107935
BW5439511,GA,MITCHELL,31.235878,-84.1984184
FL3024154,GA,MITCHELL,31.2329315,-84.2051932
FW1370612,GA,MITCHELL,31.2317306,-84.199304
AC1192993,GA,MITCHELL,31.2317476,-84.1993046
FF2944090,GA,MITCHELL,31.2316983,-84.2000887
AT7514183,GA,MITCHELL,31.2306886,-84.202887
FM1179490,GA,MITCHELL,31.2306886,-84.202887
BO4426311,GA,MITCHELL,31.2306886,-84.202887
FM1179515,GA,MITCHELL,31.2306886,-84.202887
BA6122838,GA,TOOMBS,32.2026312,-82.3403145
BC5665231,GA,MURRAY,34.7708284,-84.7698384
BL9335250,GA,MURRAY,34.7822441,-84.7881275
AR9810272,GA,MURRAY,34.7825205,-84.7987867
AC1186344,GA,MURRAY,34.7712263,-84.7691317
FW0275493,GA,MURRAY,34.7867004,-84.7727207
BI8340298,GA,MURRAY,34.782168,-84.7878181
BB7552361,GA,MURRAY,34.7840947,-84.7731693
BR5172539,GA,MUSCOGEE,32.4794656,-84.9457369
FP0638001,GA,MUSCOGEE,32.4819201,-84.9443404
FP2951918,GA,MUSCOGEE,32.4819201,-84.9443404
BM3398004,GA,MUSCOGEE,32.4598535,-84.9527867
BR5172553,GA,MUSCOGEE,32.5499801,-84.9260044
AH8732489,GA,TROUP,33.173286,-84.913195
BR0155033,GA,TROUP,33.1725987,-84.915564
AR7856137,GA,TROUP,33.0328006,-85.068883
BC1654929,GA,TROUP,33.0272117,-85.0728992
BC9810842,GA,TROUP,33.0272117,-85.0728992
FW0675112,GA,MUSCOGEE,32.5229023,-84.9490511
BW7561334,GA,MUSCOGEE,32.4670008,-84.9120325
BR5189457,GA,NEWTON,33.6029476,-83.8498752
BR5282936,GA,NEWTON,33.6029476,-83.8498752
BW5439206,GA,NEWTON,33.6110906,-83.8303979
BC9519616,GA,NEWTON,33.5700983,-83.8487099
BE5282936,GA,NEWTON,33.6029476,-83.8498752
AR9038034,GA,NEWTON,33.6004165,-83.8500147
FC2481517,GA,NEWTON,33.6004165,-83.8500147
FW3538468,GA,NEWTON,33.6026575,-83.8479235
AR2920709,GA,UNION,34.8792282,-83.9559841
BR6699372,GA,UNION,34.8712065,-83.9626153
BB7897664,GA,UNION,34.8807079,-83.9790902
FW1453062,GA,UNION,34.8639394,-83.9980674
FI2314514,GA,UNION,34.8818122,-83.9572887
BG7730357,GA,UNION,34.8716453,-83.955035
AN1166518,GA,UPSON,32.9274535,-84.3345844
BW5438583,GA,UPSON,32.9126065,-84.3339912
BF6780565,GA,OCONEE,33.869262,-83.4462221
AO8753154,GA,OGLETHORPE,33.8809959,-83.157488
AV3469170,GA,WALKER,34.9772525,-85.3586375
BL9471474,GA,WALKER,34.726445,-85.279764
AR2062658,GA,WALKER,34.718955,-85.2805327
AM8847646,GA,WALKER,34.7051008,-85.2860893
AL1940154,GA,WALKER,34.7010705,-85.2710144
FP0812544,GA,PAULDING,34.0295818,-84.7787093
BR8976788,GA,DOUGLAS,33.8163552,-84.8135703
BE8976788,GA,DOUGLAS,33.8163552,-84.8135703
FU0226818,GA,PEACH,32.5668759,-83.8766024
BR1423350,GA,WALTON,33.837617,-83.9020405
FK0725448,GA,WALTON,33.8310879,-83.8842412
BP5399212,GA,WALTON,33.8392188,-83.9080828
FS0264438,GA,WALTON,33.6770166,-83.7092274
BF9746756,GA,WALTON,33.6835717,-83.7052173
BG8618386,GA,WALTON,33.6770368,-83.7093276
BR5283445,GA,WARE,31.2079104,-82.3311156
BE5283445,GA,WARE,31.2079104,-82.3311156
FJ0811162,GA,PICKENS,34.4138135,-84.2821094
FT0688575,GA,WARE,31.2142181,-82.3605097
BD3224920,GA,WARE,31.2142181,-82.3605097
AL1174983,GA,POLK,33.9969166,-85.0514289
AS1164728,GA,POLK,34.003688,-85.0431729
BR1159020,GA,POLK,34.0119015,-85.0433593
FW0335364,GA,POLK,34.0130899,-85.0308163
BL9810866,GA,PUTNAM,33.4390332,-83.2642851
AF7712993,GA,WARREN,33.4072263,-82.6613826
BW1415810,GA,WAYNE,31.4857017,-82.0181004
AV4794562,GA,RABUN,34.9748846,-83.3843851
FI1101283,GA,RABUN,34.8803573,-83.3963019
BF9385952,GA,RABUN,34.9781474,-83.382695
BS8151665,GA,RANDOLPH,31.6678916,-84.6786304
BW5439573,GA,TIFT,31.7720303,-84.6727308
FS0593574,GA,WHITFIELD,34.9004158,-84.9475952
AK9581275,GA,WHITFIELD,34.7978801,-84.962267
BW6989668,GA,WHITFIELD,34.7586797,-84.9900044
BK6444400,GA,WHITFIELD,34.7591828,-84.9943323
AR3172119,GA,RICHMOND,33.4698699,-82.065969
BW9781089,GA,RICHMOND,33.4688703,-82.0659946
AB1197816,GA,RICHMOND,33.4873547,-82.0728904
BK5064085,GA,RICHMOND,33.4693132,-82.0824182
FT0540612,GA,RICHMOND,33.4908253,-82.0815438
BR8597152,GA,RICHMOND,33.4817413,-82.091054
BE8597152,GA,RICHMOND,33.4817413,-82.091054
BG9603526,GA,RICHMOND,33.4819805,-82.0879911
BK1008881,GA,RICHMOND,33.4239407,-82.0547597
BM7498442,GA,RICHMOND,33.397681,-82.0498226
AB9733393,GA,RICHMOND,33.4252199,-82.0178084
AR5267441,GA,RICHMOND,33.4179789,-82.0222793
BW7840792,GA,RICHMOND,33.4083591,-82.0263242
FH0207680,GA,RICHMOND,33.4252199,-82.0178084
BR7638337,GA,WILCOX,31.9505354,-83.4663893
AC1868845,GA,ROCKDALE,33.6691693,-84.022525
BK0171099,GA,ROCKDALE,33.6440027,-84.0160703
FW1026675,GA,ROCKDALE,33.6387127,-84.0151725
BE3971771,GA,ROCKDALE,33.6672828,-84.0173771
BT9984863,GA,ROCKDALE,33.6329038,-84.0167283
FP3325304,GA,ROCKDALE,33.634429,-84.0152449
BR5172743,GA,ROCKDALE,33.5972639,-84.015503
BW5439232,GA,SPALDING,33.2724117,-84.2966681
BR5283370,GA,SPALDING,33.2738091,-84.2918572
BE5283370,GA,SPALDING,33.2738091,-84.2918572
BC8669054,GA,SPALDING,33.2473989,-84.2652871
AP2679756,GA,STEPHENS,34.583952,-83.329089
AR5670496,GA,STEPHENS,34.5719452,-83.3079203
FS2338021,GA,STEPHENS,34.5817414,-83.3321369
BP4385793,GA,STEPHENS,34.5799497,-83.3182692
AS9117070,GA,STEPHENS,34.5788714,-83.3296518
FS3018276,GA,STEPHENS,34.5788714,-83.3296518
FT0718277,GA,TATTNALL,32.0807695,-82.111834
BR7905423,GA,TATTNALL,32.0784084,-82.1104062
BT5282556,GA,TATTNALL,32.0807695,-82.111834
AS1176432,GA,TERRELL,31.7733575,-84.446588
BM9413763,GA,TERRELL,31.7727541,-84.4439735
BT7151614,GA,CHEROKEE,34.0858737,-84.5460152
BB7673709,GA,CHEROKEE,34.0807914,-84.5432645
BP4712611,GA,FULTON,33.8626738,-84.4787029
BR5306320,GA,FULTON,33.8649811,-84.4761808
BE5306320,GA,FULTON,33.8649811,-84.4761808
BM5181386,GA,LOWNDES,30.858837,-83.2859566
AH6968070,GA,LOWNDES,30.865025,-83.2926952
BK1577038,GA,FULTON,33.8670702,-84.4773829
FC0049785,GA,FULTON,33.8823121,-84.4703197
BU5697810,GA,CRISP,31.976587,-83.7773193
BL9257836,GA,FULTON,33.9076247,-84.359093
AB1151480,GA,BRYAN,32.1362782,-81.6227312
AP1437830,GA,BRYAN,32.1359557,-81.6203414
FK0700484,GA,BRYAN,31.9561715,-81.3201631
FW1666621,GA,BRYAN,31.9508261,-81.3123481
BK6483806,GA,BRYAN,31.9534248,-81.31295
BR0384406,GA,CATOOSA,34.9188086,-85.1232595
FW0639659,GA,CATOOSA,34.9161276,-85.1228542
BR6989377,GA,CATOOSA,34.9150058,-85.1103038
AP1175442,GA,CATOOSA,34.9167529,-85.1127209
FG0287323,GA,CATOOSA,34.9329673,-85.1831296
BP8997326,GA,CATOOSA,34.9315929,-85.1864088
BW5438850,GA,CATOOSA,34.936294,-85.216277
FW1676824,GA,CATOOSA,34.9378793,-85.2063229
FC2264048,GA,CATOOSA,34.9684246,-85.194262
BS9531624,GA,BULLOCH,32.3987987,-81.8198296
BM9547386,GA,BULLOCH,32.4308991,-81.7478932
BK2710413,GA,BULLOCH,32.4393573,-81.7605043
BR8100276,GA,BULLOCH,32.4400017,-81.7637399
BE8100276,GA,BULLOCH,32.4400017,-81.7637399
FM3259872,GA,BULLOCH,32.4308991,-81.7478932
AR2966832,GA,CHARLTON,30.8333808,-82.0060549
AF4734504,GA,CHARLTON,30.8316035,-82.0072261
FB2220515,GA,CHARLTON,30.8353316,-82.0066086
BR5283510,GA,CHATHAM,31.988289,-81.130254
BE5283510,GA,CHATHAM,31.988289,-81.130254
BB8108917,GA,BULLOCH,32.3797328,-81.6627982
BW7103194,GA,CHATHAM,31.9811454,-81.1493375
AR7558301,GA,CHATHAM,31.9821868,-81.1535161
FP0727341,GA,CHATHAM,31.9813335,-81.1521026
BC1638608,GA,CHATHAM,32.1084556,-81.2340731
BC5218462,GA,CHATHAM,32.111323,-81.239637
AR2816227,GA,CHATHAM,32.1232031,-81.2660038
FL0430467,GA,CHATHAM,32.0977349,-81.2707012
BM6659760,GA,CHATHAM,31.9843069,-81.2215172
AR6117647,GA,BURKE,33.082574,-82.0105171
FW1127073,GA,BURKE,33.0846066,-82.0116764
AB9323964,GA,BURKE,33.0814378,-82.0133372
BW5439395,GA,CHATHAM,31.9997116,-81.2579061
FW1690482,GA,CHATHAM,32.0285801,-81.2211166
BK2900985,GA,CHATHAM,31.9806175,-81.1704864
BT7415842,GA,CHATHAM,31.9846093,-81.1746777
FW2374419,GA,CHATHAM,31.9808092,-81.173544
BI8443296,GA,CHATHAM,32.0131358,-80.8426799
BR1672282,GA,CAMDEN,30.7856459,-81.646274
BW4299485,GA,CAMDEN,30.7847218,-81.6484587
BI6023876,GA,CANDLER,32.3962667,-82.0592284
AR2657522,GA,CANDLER,32.3836974,-82.0621222
BE8847355,GA,CANDLER,32.3962667,-82.0592284
AT6032899,GA,CARROLL,33.7371329,-85.0323793
FI1177167,GA,CARROLL,33.7236361,-85.0269941
AT2712114,GA,CHATTOOGA,34.5306386,-85.309016
BW5438862,GA,CHATTOOGA,34.5217837,-85.3165297
AC9610355,GA,CHATTOOGA,34.5338975,-85.3061071
AR7292496,GA,CHATTOOGA,34.4771992,-85.3492741
FL1284164,GA,CHATTOOGA,34.4767242,-85.3501066
FS2290411,GA,CHATTOOGA,34.477701,-85.348851
FF3229122,GA,CHATTOOGA,34.4767242,-85.3501066
FB0090629,GA,CHEROKEE,34.3267923,-84.3873453
BT2932312,GA,CHEROKEE,34.3384394,-84.3773529
BB9877715,GA,CHEROKEE,34.1930515,-84.5384778
BK7971066,GA,CHEROKEE,34.252975,-84.3583675
BP8574293,GA,CHEROKEE,34.2367349,-84.2909114
BH8527345,GA,BERRIEN,31.2046197,-83.2493044
BR0122440,GA,BERRIEN,31.2031498,-83.2501407
FL0739865,GA,BERRIEN,31.2050073,-83.2443904
BH1725994,GA,BERRIEN,31.2050073,-83.2443904
AP1556147,GA,BERRIEN,31.205669,-83.244205
AC1336177,GA,BERRIEN,31.2035745,-83.237986
AR1607134,GA,BIBB,32.8589856,-83.6146799
BW6769167,GA,BIBB,32.8631025,-83.6108372
FE1261421,GA,BIBB,32.8593608,-83.6116979
BE5283433,GA,BIBB,32.8600015,-83.6130403
BR5283433,GA,BIBB,32.8600015,-83.6130403
BW7716648,GA,BIBB,32.8619508,-83.6887317
BC5949079,GA,BIBB,32.8501264,-83.6735296
BK0500214,GA,BIBB,32.8732288,-83.7097013
BR5283469,GA,BIBB,32.8747995,-83.7105282
BE5283469,GA,BIBB,32.8747995,-83.7105282
FP0802872,GA,BIBB,32.85306,-83.679794
BP5728196,GA,BIBB,32.85306,-83.679794
AP9195000,GA,BIBB,32.7976419,-83.6524287
AR6738302,GA,BIBB,32.8997156,-83.7028028
BK1346457,GA,BIBB,32.8990298,-83.6915557
BP3913755,GA,BIBB,32.8972356,-83.6872805
BK1345568,GA,BIBB,32.9000907,-83.6908497
FW0380763,GA,BIBB,32.8807526,-83.7732975
BK4400672,GA,BIBB,32.8787578,-83.7614647
BW8673457,GA,BIBB,32.8830479,-83.7600785
FW0673738,GA,BIBB,32.8804826,-83.7634838
BC1180570,GA,CHEROKEE,34.2370189,-84.489926
FT1254933,GA,CHEROKEE,34.2342109,-84.4572277
BW5439181,GA,CHEROKEE,34.0841069,-84.4812443
BP5776058,GA,CHEROKEE,34.0896084,-84.4840315
BR5283130,GA,CHEROKEE,34.0887023,-84.4850971
BE5283130,GA,CHEROKEE,34.0887023,-84.4850971
BW6729860,GA,CHEROKEE,34.1007054,-84.5198841
BR5170624,GA,CHEROKEE,34.0843298,-84.5222801
BR6564808,GA,CHEROKEE,34.110477,-84.5544456
BE6564808,GA,CHEROKEE,34.110477,-84.5544456
FG1208520,GA,BIBB,32.7447868,-83.7221551
AR5826536,GA,BIBB,32.8493904,-83.6241879
BC6867254,GA,BIBB,32.8473505,-83.6179646
BT9265061,GA,BIBB,32.8449427,-83.6186426
FB0357548,GA,BRANTLEY,31.230974,-81.762473
BS9418991,GA,CARROLL,33.58541,-85.0579283
